d_geo_continent,d_geo_country,d_geo_region,m_visits,m_page_views,m_page_views_per_entering_visits,m_page_views_per_visits,m_bounce_rate,m_bq,m_bounces,m_time_spent,m_time_spent_per_pages,m_entry_rate,m_entering_visits,m_time_spent_per_visits,Months,Years
Amérique du Nord,Etats Unis,Oregon,202,911,7.3873873874,4.5099009901,0.4504950495,66.7756988873,91,23155,28.237804878,0.5495049505,111,208.6036036036,january,2020
Asie,Thaïlande,Chon Buri,201,1833,11.5290322581,9.1194029851,0.2288557214,167.8084451064,46,55821,31.2372691662,0.7711442786,155,360.135483871,january,2020
Europe,Portugal,Centre,200,451,4.7462686567,2.255,0.665,49.7845778407,133,23428,73.6729559748,0.335,67,349.671641791,january,2020
Europe,Lettonie,Riga,196,382,2.738317757,1.9489795918,0.4540816327,85.8680918349,89,47857,163.3344709898,0.5459183673,107,447.261682243,january,2020
Europe,Royaume Uni,South West England,195,774,7.1595744681,3.9692307692,0.5179487179,92.7772579513,101,43857,65.1664190193,0.4820512821,94,466.5638297872,january,2020
Amérique du Sud,Saint-Martin (Partie Française),-,190,1579,16.9655172414,8.3105263158,0.5421052632,152.3587505795,103,33625,22.7811653117,0.4578947368,87,386.4942528736,january,2020
Océanie,Australie,Victoria,188,477,8.8108108108,2.5372340426,0.8031914894,199.5984166098,151,58279,178.7699386503,0.1968085106,37,1575.1081081081,january,2020
Europe,Hongrie,Budapest,181,839,10.8208955224,4.635359116,0.6298342541,136.6530213676,114,50462,69.6027586207,0.3701657459,67,753.1641791045,january,2020
Europe,Italie,Friuli Venezia Giulia,177,754,8.0365853659,4.2598870056,0.5367231638,97.0431394627,95,39253,59.564491654,0.4632768362,82,478.6951219512,january,2020
Europe,République Tchèque,Hlavni Mesto Praha,176,471,5.4696969697,2.6761363636,0.625,50.1223293428,110,19832,54.9362880886,0.375,66,300.4848484848,january,2020
Europe,Italie,Campania,174,520,6.0144927536,2.9885057471,0.6034482759,54.891783916,105,20990,50.578313253,0.3965517241,69,304.2028985507,january,2020
Afrique,Mali,bamako,172,913,12.0597014925,5.3081395349,0.6104651163,98.7359812047,105,26275,32.5185643564,0.3895348837,67,392.1641791045,january,2020
Amérique du Nord,Canada,British Columbia,168,374,6.15,2.2261904762,0.7619047619,86.1148458456,128,29093,118.2642276423,0.2380952381,40,727.325,january,2020
Afrique,Guinée,conakry,164,372,6.0731707317,2.2682926829,0.75,78.1247659723,123,26587,106.7751004016,0.25,41,648.4634146341,january,2020
Amérique du Sud,Colombie,Distrito Especial,162,375,3.393258427,2.3148148148,0.450617284,40.0917090988,73,15398,50.9867549669,0.549382716,89,173.0112359551,january,2020
Europe,Grèce,Attiki,161,217,3,1.347826087,0.8260869565,16.897586358,133,4723,56.2261904762,0.1739130435,28,168.6785714286,january,2020
Amérique du Nord,Etats Unis,Pennsylvanie,161,405,5,2.5155279503,0.6211180124,66.2198917342,100,26800,87.868852459,0.3788819876,61,439.3442622951,january,2020
Europe,Portugal,Algarve,160,466,5.935483871,2.9125,0.6125,67.1147613834,98,25663,69.7364130435,0.3875,62,413.9193548387,january,2020
Europe,Royaume Uni,East England,159,523,6.5151515152,3.2893081761,0.5849056604,69.5232070045,93,25527,59.3651162791,0.4150943396,66,386.7727272727,january,2020
Europe,Serbie,belgrade,158,321,3.7627118644,2.0316455696,0.6265822785,115.0449271271,99,45090,203.1081081081,0.3734177215,59,764.2372881356,january,2020
Asie,Liban,beirut,158,239,3.6129032258,1.5126582278,0.8037974684,14.293888112,127,3541,31.6160714286,0.1962025316,31,114.2258064516,january,2020
Afrique,Algérie,constantine,156,203,2.6206896552,1.3012820513,0.8141025641,20.9172777437,127,5991,78.8289473684,0.1858974359,29,206.5862068966,january,2020
Asie,Turquie,Istanbul,156,432,6.1111111111,2.7692307692,0.6538461538,42.025138187,102,12518,37.9333333333,0.3461538462,54,231.8148148148,january,2020
Afrique,Congo,brazzaville,155,452,6.2105263158,2.9161290323,0.6322580645,67.2447508812,98,24250,68.5028248588,0.3677419355,57,425.4385964912,january,2020
Amérique du Sud,Brésil,Rio De Janeiro,153,576,7.1304347826,3.7647058824,0.5490196078,61.1920486981,84,18168,36.9268292683,0.4509803922,69,263.3043478261,january,2020
Asie,Fédération de Russie,Moskva,151,405,6.08,2.6821192053,0.6688741722,56.8908661646,101,18964,62.3815789474,0.3311258278,50,379.28,january,2020
Afrique,Île Maurice,plaines wilhems,146,519,6.4057971014,3.5547945205,0.5273972603,48.1090945653,77,11851,26.8122171946,0.4726027397,69,171.7536231884,january,2020
Amérique du Sud,Argentine,Buenos Aires,146,440,6.3454545455,3.0136986301,0.6232876712,47.1677369513,91,13392,38.3724928367,0.3767123288,55,243.4909090909,january,2020
Amérique du Nord,Porto Rico,Indeterminés,145,483,5.6301369863,3.3310344828,0.4965517241,88.9812989371,72,34786,84.6374695864,0.5034482759,73,476.5205479452,january,2020
Europe,Pays-bas,Utrecht,144,402,5.9615384615,2.7916666667,0.6388888889,41.3317377239,92,11346,36.6,0.3611111111,52,218.1923076923,january,2020
Amérique du Nord,Mexique,Mexico,144,363,4.5322580645,2.5208333333,0.5694444444,47.7799682189,82,16537,58.8505338078,0.4305555556,62,266.7258064516,january,2020
Amérique du Nord,Etats Unis,Nevada,143,899,10.2195121951,6.2867132867,0.4265734266,101.7907987091,61,22875,27.2971360382,0.5734265734,82,278.9634146341,january,2020
Océanie,Nouvelle Zélande,Auckland,142,427,5.3181818182,3.0070422535,0.5352112676,85.5771439137,76,32755,93.3190883191,0.4647887324,66,496.2878787879,january,2020
